ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI
201718,NATF07000V,0630490134,NO,-,-,-,-,-,-,-,-,-
201718,SAAA815056,0650290001,NO,-,-,-,-,-,-,-,-,-
201718,AOPC01900V,0070030613,SI,SI,NO,NO,NO,SI,NO,NO,NO,-
201718,SRRC017012,0890165047,NO,-,-,-,-,-,-,-,-,-
201718,ORPC01101E,0950381575,SI,SI,SI,SI,NO,SI,NO,SI,SI,-
201718,FGIS048009,0710200483,NO,-,-,-,-,-,-,-,-,-
201718,CBIC82500G,0700080196,SI,SI,NO,SI,NO,SI,SI,SI,SI,-
201718,PAEE8A001E,0820534479,SI,SI,SI,SI,NO,SI,SI,SI,SI,-
201718,GEMM86301T,0100250331,NO,-,-,-,-,-,-,-,-,-
201718,CSAA85205X,0780870278,NO,-,-,-,-,-,-,-,-,-
201718,PGTF19000V,0540130649,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,CZAA838019,0791330368,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,TVEE88202B,0260872997,SI,SI,SI,NO,NO,NO,SI,NO,NO,-
201718,AGIS01200A,0840410730,SI,NO,SI,SI,NO,NO,SI,SI,NO,-
201718,PAAA862034,0820503958,NO,-,-,-,-,-,-,-,-,-
201718,VVEE82901A,1020110162,NO,-,-,-,-,-,-,-,-,-
201718,LUEE849017,0460175047,SI,SI,SI,SI,NO,NO,SI,SI,SI,-
201718,CEIC8AJ00D,0610570509,SI,SI,NO,NO,NO,SI,SI,NO,NO,-
201718,PRRI01003C,0340140300,SI,SI,SI,SI,NO,SI,SI,NO,NO,-
201718,CTIC8A100Q,0870062611,SI,SI,SI,SI,NO,NO,SI,SI,SI,-
201718,LUPS01000C,0460175115,SI,SI,NO,SI,NO,SI,NO,SI,SI,-
201718,RCMM805022,0800630291,NO,-,-,-,-,-,-,-,-,-
201718,APMM804058,0440290762,SI,SI,SI,NO,SI,SI,NO,NO,NO,-
201718,MOAA832011,0360130027,SI,SI,NO,NO,NO,SI,NO,SI,SI,-
201718,MEEE814069,0830133926,SI,NO,SI,SI,NO,NO,SI,SI,SI,-
201718,VREE84802G,0230303193,SI,SI,SI,NO,NO,SI,NO,NO,NO,-
201718,LUAA84002L,0460015001,SI,SI,NO,NO,NO,NO,NO,NO,SI,-
201718,LTAA833077,0590271963,SI,SI,NO,NO,NO,SI,SI,SI,NO,-
201718,MNAA82103X,0200560089,SI,SI,NO,NO,NO,NO,NO,NO,NO,-
201718,PZEE88510Q,0760270267,SI,SI,SI,NO,NO,SI,SI,NO,NO,-
201718,AVEE007014,0640080010,NO,-,-,-,-,-,-,-,-,-
201718,RIEE82701B,0570270119,SI,SI,SI,SI,NO,NO,NO,NO,NO,-
